id,timestamp,hostname,interface,description,encapsulation,vlan,rewrite,input_policy,output_policy,modified_by_id
39874,2021-05-21 05:00:47.572697,SPC00E67CIBE002,Bundle-Ether30005.1206,ALGHUOL001_CONS,dot1q,1206,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39875,2021-05-21 05:00:47.572726,SPC00E67CIBE002,Bundle-Ether30005.1207,MLLHUOL001 FTTH DHCP,dot1q,1207,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39876,2021-05-21 05:00:47.572754,SPC00E67CIBE002,Bundle-Ether30005.1208,CABN5695CICU001_CABHUOL001_CONS,dot1q,1208,rewrite ingress tag pop 1 symmetric,PLDT-FIXED-CB-HSI-IN,,1
39877,2021-05-21 05:00:47.572781,SPC00E67CIBE002,Bundle-Ether40000.102,DEPARTMENT OF INFORMATION AND COMMUNICATIONS TECHNOLOGY-BULACAN_PID1-1AG3HTQ_I-GATE LITE_10M,dot1q,102,rewrite ingress tag pop 1 symmetric,PLDT-N4I-DEFAULT-IN,,1
39878,2021-05-21 05:00:47.572809,SPC00E67CIBE002,Bundle-Ether40000.111,BULACAN STATE UNIVERSITY_PID1-1B3QTH2_I-GATE PREMIUM_50M,dot1q,111,rewrite ingress tag pop 1 symmetric,PLDT-N4I-DEFAULT-IN,,1
39879,2021-05-21 05:00:47.572837,SPC00E67CIBE002,Bundle-Ether40000.130,PID1-15PKUZV_SMART COMMUNICATIONS INC._I-GATE BOD_100M,dot1q,130,rewrite ingress tag pop 1 symmetric,PLDT-N4I-DEFAULT-IN,,1
39880,2021-05-21 05:00:47.572865,SPC00E67CIBE002,Bundle-Ether40000.159,PID1-16MXEV5_PHILIPPINE AIR FORCE_I-GATE DIRECT_30M,dot1q,159,rewrite ingress tag pop 1 symmetric,PLDT-N4I-DEFAULT-IN,,1
39881,2021-05-21 05:00:47.572893,SPC00E67CIBE002,Bundle-Ether40000.173,PID1-173UPOR_NALCO PHILIPPINES INC._I-GATE_2M,dot1q,173,rewrite ingress tag pop 1 symmetric,PLDT-N4I-DEFAULT-IN,,1
39882,2021-05-21 05:00:47.572920,SPC00E67CIBE002,Bundle-Ether40000.174,PID1-11WBPZG_SMART COMMUNICATIONS INC._I-GATE BOD_100M,dot1q,174,rewrite ingress tag pop 1 symmetric,PLDT-N4I-DEFAULT-IN,,1
39883,2021-05-21 05:00:47.572948,SPC00E67CIBE002,Bundle-Ether40000.200,SMART COMMUNICATIONS INC._PID1-YDH9M3_I-GATE BOD_100M,dot1q,200,rewrite ingress tag pop 1 symmetric,PLDT-N4I-DEFAULT-IN,,1
39884,2021-05-21 05:00:47.572975,SPC00E67CIBE002,Bundle-Ether40000.228,EWIC PHILIPPINES INC._PID1-17NC6J6_I-GATE_20M,dot1q,228,rewrite ingress tag pop 1 symmetric,PLDT-N4I-DEFAULT-IN,,1
39885,2021-05-21 05:00:47.573003,SPC00E67CIBE002,Bundle-Ether40000.230,DEPT OF AGRI-OFFICE OF THE SECRETARY_PID1-17NHC5K_I-GATE_20M,dot1q,230,rewrite ingress tag pop 1 symmetric,PLDT-N4I-DEFAULT-IN,,1
