results__id,device/id,HOSTNAME,SOURCE_BUNDLE_INTERFACE
cd6ab1eb-2de6-484a-bdd8-538f8935c2d5,e670c6f1-9acc-4575-aa21-df5d54df0f99,BAB00B90CICN001,Loopback1
f269f2bc-dec1-40b3-950e-ed28801c1994,61b4da67-d231-45ed-a373-1d6da2f43d8c,BAB00B90CICN002,HundredGigE0/2/0/0
b969aa7b-76b7-4b2c-92b0-18347970c6ba,61b4da67-d231-45ed-a373-1d6da2f43d8c,BAB00B90CICN002,HundredGigE0/2/0/35
c7171cf5-d134-442a-bf5a-dd93e3764485,61b4da67-d231-45ed-a373-1d6da2f43d8c,BAB00B90CICN002,HundredGigE0/3/2/0
8db9e979-4732-4eea-abd6-cf8e60cc0abd,61b4da67-d231-45ed-a373-1d6da2f43d8c,BAB00B90CICN002,Bundle-Ether100
b7806466-9e6a-4f61-aca3-5e114a910c51,61b4da67-d231-45ed-a373-1d6da2f43d8c,BAB00B90CICN002,Bundle-Ether101
c6e70db1-50d4-41c8-a0f3-ff4938f142bc,61b4da67-d231-45ed-a373-1d6da2f43d8c,BAB00B90CICN002,Bundle-Ether500
6959d97c-ccdf-4261-96ac-0e6c90d8b0ac,61b4da67-d231-45ed-a373-1d6da2f43d8c,BAB00B90CICN002,Loopback0
2b02bce2-2c51-4682-8dbe-0e13f8065034,61b4da67-d231-45ed-a373-1d6da2f43d8c,BAB00B90CICN002,Loopback1
69ef9394-408b-4150-9f58-92ec886bf467,458fdd6d-7707-47ce-8f21-0b8de94110d3,BABPXBABCICN001,HundredGigE0/2/0/0
645d62fa-231a-46e6-931f-b98bdb790bdc,458fdd6d-7707-47ce-8f21-0b8de94110d3,BABPXBABCICN001,HundredGigE0/2/0/35
51db571a-f038-4018-b165-82eabee3314a,458fdd6d-7707-47ce-8f21-0b8de94110d3,BABPXBABCICN001,HundredGigE0/3/2/0
046661e4-1aba-49cc-9364-27e92654fb7c,458fdd6d-7707-47ce-8f21-0b8de94110d3,BABPXBABCICN001,Bundle-Ether100
d1dd3349-8d23-4e77-9cfb-993ae9bab90e,458fdd6d-7707-47ce-8f21-0b8de94110d3,BABPXBABCICN001,Bundle-Ether101
1d68583f-7472-4e15-af04-8daba20c212a,458fdd6d-7707-47ce-8f21-0b8de94110d3,BABPXBABCICN001,Bundle-Ether500
7411e653-336a-49c9-90e2-d5008b9d23fc,458fdd6d-7707-47ce-8f21-0b8de94110d3,BABPXBABCICN001,Loopback0
f46f4a7e-8598-40e6-a0a8-777d8b31f8e6,458fdd6d-7707-47ce-8f21-0b8de94110d3,BABPXBABCICN001,Loopback1
0f0c2f30-106d-4a0f-9d67-2e34df24a952,a79214c9-3b71-4df6-a782-ca484f8fdeb6,BABPXBABCICN002,HundredGigE0/2/0/0
1ee32922-162d-4373-a524-4a6e480333e9,a79214c9-3b71-4df6-a782-ca484f8fdeb6,BABPXBABCICN002,HundredGigE0/2/0/35
52dbdc97-635d-4e2b-a65e-c8eed40e9e4f,a79214c9-3b71-4df6-a782-ca484f8fdeb6,BABPXBABCICN002,HundredGigE0/3/2/0
db6afc5a-98f1-494e-981f-3bcaa02d2a68,a79214c9-3b71-4df6-a782-ca484f8fdeb6,BABPXBABCICN002,Bundle-Ether100
6b957970-72e9-42af-bc01-7fffd31bc7cc,a79214c9-3b71-4df6-a782-ca484f8fdeb6,BABPXBABCICN002,Bundle-Ether101
dd741341-46ec-4e37-b6cb-db6e55bbc562,a79214c9-3b71-4df6-a782-ca484f8fdeb6,BABPXBABCICN002,Bundle-Ether500
9c226f5c-1266-4166-82f6-4ba6b698e742,a79214c9-3b71-4df6-a782-ca484f8fdeb6,BABPXBABCICN002,Loopback0
3b3e1b93-eddf-4e38-8541-afb145b44d75,a79214c9-3b71-4df6-a782-ca484f8fdeb6,BABPXBABCICN002,Loopback1
d8c07bcf-ab9f-4417-b522-64b2d5c208f5,18727d59-6396-4b52-97df-2f828b9be443,BAL06114CIBE001,HundredGigE0/0/0/1
614d4035-736b-414e-94a6-c438de47d632,18727d59-6396-4b52-97df-2f828b9be443,BAL06114CIBE001,HundredGigE0/0/0/12
fa409cb5-1e74-4299-ab80-728d23249874,18727d59-6396-4b52-97df-2f828b9be443,BAL06114CIBE001,HundredGigE0/7/0/0
926f3386-1a20-4543-885f-618fafd5e480,18727d59-6396-4b52-97df-2f828b9be443,BAL06114CIBE001,Bundle-Ether10
9118e909-ecfa-4537-8bfb-a6fb77e72389,18727d59-6396-4b52-97df-2f828b9be443,BAL06114CIBE001,Bundle-Ether31
48b2b2bb-ffe3-427f-85e3-dda0a54011f3,18727d59-6396-4b52-97df-2f828b9be443,BAL06114CIBE001,Bundle-Ether32
b9485b41-a323-4d42-87dd-80aa800fbce6,18727d59-6396-4b52-97df-2f828b9be443,BAL06114CIBE001,Loopback0
6281b53e-e1b1-43ed-8b16-22e13a3af6db,18727d59-6396-4b52-97df-2f828b9be443,BAL06114CIBE001,Loopback1
df532673-7cbd-4a95-a7c6-6e37c5df4436,f6c555a6-df1f-4c6e-a1ca-300063d718d0,BAL06114CIBE002,HundredGigE0/0/0/1
b7a93bee-2014-4315-b6e1-d75938ed31f6,f6c555a6-df1f-4c6e-a1ca-300063d718d0,BAL06114CIBE002,HundredGigE0/0/0/12
d4b2a0d6-c3b6-4c0d-8bb3-6ac5ae83e227,f6c555a6-df1f-4c6e-a1ca-300063d718d0,BAL06114CIBE002,HundredGigE0/7/0/0
1b708b8c-1de6-47e0-b51d-eb322f4d1c16,f6c555a6-df1f-4c6e-a1ca-300063d718d0,BAL06114CIBE002,Bundle-Ether10
e381e3e3-7b68-4cad-828c-6d58b475cec5,f6c555a6-df1f-4c6e-a1ca-300063d718d0,BAL06114CIBE002,Bundle-Ether31
e5e962da-5331-4820-bd57-052257d64980,f6c555a6-df1f-4c6e-a1ca-300063d718d0,BAL06114CIBE002,Bundle-Ether32
26d665ef-6894-4d38-85c7-bab35ceee3c8,f6c555a6-df1f-4c6e-a1ca-300063d718d0,BAL06114CIBE002,Loopback0
c27c6458-08b8-4787-a1df-31679e282467,f6c555a6-df1f-4c6e-a1ca-300063d718d0,BAL06114CIBE002,Loopback1
c1e80f3d-253e-47d0-9545-dfd202e8bf3a,69335dae-0cf6-4fdb-8780-a04b7f46fa40,BAT00B04CICN001,HundredGigE0/0/0/2
fb3b6845-15a8-4ee0-adac-37c5245a8b18,69335dae-0cf6-4fdb-8780-a04b7f46fa40,BAT00B04CICN001,HundredGigE0/0/0/35
708638fc-81aa-491e-8e4c-098382c088cf,69335dae-0cf6-4fdb-8780-a04b7f46fa40,BAT00B04CICN001,HundredGigE0/1/0/2
68794384-b191-4d46-9123-506b029f491d,69335dae-0cf6-4fdb-8780-a04b7f46fa40,BAT00B04CICN001,Bundle-Ether10
f208d7ab-0349-4205-9b62-bbd68c296f8e,69335dae-0cf6-4fdb-8780-a04b7f46fa40,BAT00B04CICN001,Bundle-Ether101
1a03a329-b955-4cb8-a27f-be18e2d2bf36,69335dae-0cf6-4fdb-8780-a04b7f46fa40,BAT00B04CICN001,Bundle-Ether102
c95f5811-7795-4d8b-9547-b5c4917b0f35,69335dae-0cf6-4fdb-8780-a04b7f46fa40,BAT00B04CICN001,Loopback0
69994d09-f4b6-468b-ba8b-03d410fc775b,69335dae-0cf6-4fdb-8780-a04b7f46fa40,BAT00B04CICN001,Loopback1
bce8d195-0768-46e3-986c-a9193cfc5873,a8a93075-c862-44b4-a9d8-43a1c4eb487b,BAT00B04CICN002,HundredGigE0/0/0/2
f82d5874-c051-426a-9ded-b95e6aabf7d4,a8a93075-c862-44b4-a9d8-43a1c4eb487b,BAT00B04CICN002,HundredGigE0/0/0/35
ac709cc0-4fd2-4714-9f9c-ca6cb45b33f6,a8a93075-c862-44b4-a9d8-43a1c4eb487b,BAT00B04CICN002,HundredGigE0/1/0/2
c23a465d-db86-459d-a6d5-0c5269df912e,a8a93075-c862-44b4-a9d8-43a1c4eb487b,BAT00B04CICN002,Bundle-Ether10
231d1776-49cb-4e7d-9be9-e27775372d5c,a8a93075-c862-44b4-a9d8-43a1c4eb487b,BAT00B04CICN002,Bundle-Ether101
f78d65f9-db63-46bb-8bd3-6d37560aeceb,a8a93075-c862-44b4-a9d8-43a1c4eb487b,BAT00B04CICN002,Bundle-Ether102
2a3228e4-3539-4fe9-afdb-b4b4bc489b77,a8a93075-c862-44b4-a9d8-43a1c4eb487b,BAT00B04CICN002,Loopback0
8ed0f933-3c04-4433-8b81-f76dce7ce438,a8a93075-c862-44b4-a9d8-43a1c4eb487b,BAT00B04CICN002,Loopback1
8efef5e8-269c-496b-be74-5ce79d2f7782,5512bc09-40f9-4e22-a6dc-3cd6bd204d22,BATPXBATCIBP001,HundredGigE0/0/0/0
338d8778-2092-4875-a545-ac3a31f42e7d,5512bc09-40f9-4e22-a6dc-3cd6bd204d22,BATPXBATCIBP001,HundredGigE0/0/0/1
8d0263d0-9785-4b4d-8727-bea09e70257a,5512bc09-40f9-4e22-a6dc-3cd6bd204d22,BATPXBATCIBP001,HundredGigE0/0/0/2
659f4e94-cdfc-450b-bfe0-8d4d1523dbab,5512bc09-40f9-4e22-a6dc-3cd6bd204d22,BATPXBATCIBP001,HundredGigE0/0/0/3
973021e5-1c56-4ae3-a26f-25541ae1cf90,5512bc09-40f9-4e22-a6dc-3cd6bd204d22,BATPXBATCIBP001,HundredGigE0/0/0/4
7d8c08cf-17e7-4e25-80a3-091ccd5d0a35,5512bc09-40f9-4e22-a6dc-3cd6bd204d22,BATPXBATCIBP001,HundredGigE0/0/0/32
0efd4577-cbdb-4731-9a48-93f4a8b45f70,5512bc09-40f9-4e22-a6dc-3cd6bd204d22,BATPXBATCIBP001,HundredGigE0/0/0/33
f8d0c9dc-b4b0-44a0-891f-a095386e9003,5512bc09-40f9-4e22-a6dc-3cd6bd204d22,BATPXBATCIBP001,HundredGigE0/0/0/34
134f4a95-0ddd-40b3-a7db-26ed044a4bf5,5512bc09-40f9-4e22-a6dc-3cd6bd204d22,BATPXBATCIBP001,HundredGigE0/0/0/35
45f85e27-d5f4-4287-92f7-de22355bf5f0,5512bc09-40f9-4e22-a6dc-3cd6bd204d22,BATPXBATCIBP001,HundredGigE0/1/0/0
ff9b9439-9740-4694-95a4-0e4f5060b96a,5512bc09-40f9-4e22-a6dc-3cd6bd204d22,BATPXBATCIBP001,HundredGigE0/1/0/1
